iter	Passed	Remaining
0	1	140
1	2	115
2	3	106
3	4	97
4	5	97
5	6	94
6	7	93
7	8	94
8	9	96
9	10	96
10	11	94
11	12	92
12	13	90
13	14	90
14	15	88
15	16	86
16	17	85
17	18	83
18	19	82
19	20	81
20	21	80
21	22	79
22	23	79
23	24	77
24	25	76
25	26	75
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	37	61
38	38	60
39	39	59
40	40	58
41	41	57
42	42	55
43	43	54
44	44	53
45	45	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	51	47
52	52	46
53	53	45
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	60	36
62	61	35
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	81	17
82	82	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
